Strain (mm/mm) Run #5,Stress (MPa) Run #5,E(Run #5),Strain (mm/mm) Run #6,Stress (MPa) Run #6,E(Run #6 natural),Strain (mm/mm) Run #7,Stress (MPa) Run #7,E(Run #6 natural),Strain (mm/mm) Run #8,Stress (MPa) Run #8,,Strain (mm/mm) Run #9,Stress (MPa) Run #9,
0.09,150.1717755,,0.171111111,0.239007769,,0.092222222,439.3788862,,0.093055556,366.785508,,0.146944444,438.0274459,
0.091388889,150.6486896,,0.171111111,0.132170195,,0.093055556,434.3145649,,0.093888889,361.7740548,,0.149444444,446.909283,
0.0925,150.3039457,,0.171111111,0.158604234,,0.093888889,440.7578619,,0.094722222,356.763703,,0.152777778,448.9766452,
0.093888889,149.9856358,,0.171111111,0.158604234,,0.095,447.5448014,,0.096111111,124.1353485,,0.155833333,448.870909,
0.095,150.1982095,,0.171111111,0.239007769,,0.096388889,446.6438412,,0.0975,0.291875847,,0.157777778,445.2384315,
0.096111111,149.5615898,,0.171111111,0.21257373,,0.098333333,448.2871573,,0.0975,0.21257373,,0.161388889,447.8102432,
0.096666667,148.9789395,,0.171111111,0.21257373,,0.099722222,448.9237771,,0.0975,0.291875847,,0.163888889,448.7123048,
0.097777778,149.6408919,,0.171111111,0.265441808,,0.100833333,445.3177336,,0.0975,0.21257373,,0.165277778,446.5645391,
0.097777778,147.1219483,,0.171111111,0.239007769,,0.1025,446.3519654,,0.0975,0.265441808,,0.166111111,445.8486172,
0.098888889,150.6222556,,0.171111111,0.265441808,,0.102777778,435.2959286,,0.098055556,0.291875847,,0.167222222,444.3374713,
0.099722222,149.3765515,,0.171111111,0.239007769,,0.102777778,431.7967227,,0.098055556,0.265441808,,0.1675,443.1170999,
0.100555556,149.6673259,,0.171111111,0.239007769,,0.103888889,451.1244108,,0.098055556,0.291875847,,0.168333333,452.8216964,
0.101666667,150.0660394,,0.171111111,0.265441808,,0.104722222,452.6619908,,0.098055556,0.291875847,,0.168333333,441.8713958,
0.1025,150.0660394,,0.171111111,0.265441808,,0.106111111,451.5220228,,0.098055556,0.265441808,,0.168333333,437.7091361,
